loan_id,loan_status
0,0
1,0
2,0
3,1
4,0
5,1
6,1
7,0
8,0
9,0
10,0
11,0
12,1
13,0
14,1
15,0
16,0
17,1
18,1
19,0
20,1
21,1
22,1
23,1
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,0
33,0
34,0
35,1
36,1
37,1
38,0
39,0
40,0
41,0
42,0
43,1
44,1
45,0
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,0
58,0
59,1
60,1
61,0
62,0
63,1
64,1
65,0
66,0
67,0
68,0
69,1
70,0
71,0
72,0
73,0
74,0
75,0
76,1
77,0
78,1
79,1
80,0
81,0
82,1
83,0
84,1
85,0
86,0
87,0
88,1
89,0
90,1
91,1
92,1
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,1
108,1
109,1
110,0
111,0
112,0
113,1
114,1
115,0
116,0
117,1
118,0
119,1
120,0
121,0
122,1
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,1
135,1
136,0
137,0
138,0
139,1
140,1
141,1
142,0
143,0
144,1
145,0
146,1
147,0
148,0
149,1
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,1
158,1
159,0
160,0
161,0
162,0
163,1
164,1
165,1
166,0
167,1
168,0
169,0
170,0
171,0
172,1
173,0
174,1
175,0
176,1
177,0
178,1
179,0
180,1
181,1
182,0
183,1
184,0
185,0
186,0
187,0
188,1
189,0
190,1
191,0
192,0
193,0
194,0
195,0
196,1
197,1
198,1
199,0
200,0
201,0
202,0
203,0
204,0
205,1
206,0
207,0
208,1
209,0
210,0
211,0
212,1
213,0
214,1
215,1
216,0
217,0
218,1
219,1
220,0
221,1
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,1
230,1
231,1
232,0
233,1
234,1
235,0
236,0
237,1
238,0
239,0
240,0
241,1
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,1
250,1
251,1
252,0
253,0
254,0
255,0
256,1
257,0
258,0
259,0
260,0
261,1
262,0
263,1
264,0
265,0
266,0
267,1
268,0
269,1
270,1
271,0
272,1
273,1
274,0
275,1
276,1
277,0
278,1
279,1
280,1
281,0
282,0
283,0
284,0
285,0
286,1
287,0
288,1
289,0
290,1
291,1
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,1
300,0
301,1
302,0
303,1
304,0
305,1
306,0
307,1
308,0
309,0
310,0
311,1
312,0
313,1
314,0
315,1
316,1
317,0
318,0
319,1
320,0
321,1
322,0
323,0
324,0
325,0
326,0
327,0
328,1
329,1
330,0
331,1
332,0
333,0
334,0
335,1
336,1
337,1
338,0
339,1
340,1
341,0
342,0
343,0
344,0
345,0
346,1
347,0
348,0
349,0
350,0
351,1
352,1
353,1
354,0
355,0
356,1
357,1
358,0
359,0
360,0
361,0
362,1
363,1
364,0
365,1
366,0
367,1
368,0
369,0
370,0
371,0
372,0
373,0
374,1
375,0
376,0
377,0
378,1
379,1
380,1
381,1
382,0
383,0
384,0
385,0
386,0
387,0
388,1
389,0
390,0
391,1
392,0
393,1
394,1
395,1
396,1
397,0
398,0
399,0
400,1
401,0
402,0
403,0
404,0
405,1
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,1
414,0
415,0
416,1
417,0
418,0
419,1
420,0
421,0
422,0
423,1
424,1
425,1
426,1
427,0
428,0
429,1
430,0
431,0
432,0
433,1
434,1
435,1
436,0
437,1
438,0
439,0
440,0
441,0
442,0
443,1
444,1
445,1
446,1
447,0
448,1
449,0
450,1
451,0
452,1
453,0
454,0
455,0
456,0
457,0
458,1
459,0
460,0
461,1
462,1
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,1
471,0
472,0
473,0
474,0
475,0
476,0
477,1
478,0
479,0
480,0
481,0
482,1
483,1
484,0
485,1
486,0
487,0
488,1
489,0
490,0
491,1
492,0
493,1
494,0
495,1
496,1
497,0
498,0
499,1
500,0
501,1
502,1
503,0
504,1
505,0
506,0
507,0
508,1
509,0
510,0
511,1
512,0
513,0
514,1
515,0
516,0
517,0
518,0
519,0
520,0
521,1
522,0
523,1
524,0
525,0
526,0
527,1
528,0
529,0
530,0
